key,key:userAccount,identification,company-name,type,email,Link
client-01,user-account-client-01,"CLI-0015","A",COMPANY,"cli1@gmail.com",
client-02,user-account-client-02,"CLI-8258","Ahasduodh asd",INDIVIDUAL,"cli2@gmail.com","https://sdf.com"
client-03,user-account-client-03,"CLI-3051","B",COMPANY,"cli3@gmail.com",
client-04,user-account-client-04,"CLI-1472","Bishdfg",INDIVIDUAL,"cli4@gmail.com","https://example.com"
client-05,user-account-client-05,"CLI-9987","C",COMPANY,"cli5@gmail.com",
client-06,user-account-client-06,"CLI-6321","Cdaskjhf k",INDIVIDUAL,"cli6@gmail.com",
client-07,user-account-client-07,"CLI-2214","D",COMPANY,"cli7@gmail.com",
client-08,user-account-client-08,"CLI-7723","Dsdafd",INDIVIDUAL,"cli8@gmail.com","https://example.com"
client-09,user-account-client-09,"CLI-5012","E",COMPANY,"cli9@gmail.com",
client-10,user-account-client-10,"CLI-9164","Eerftg k",INDIVIDUAL,"cli10@gmail.com",
client-11,user-account-client-11,"CLI-3305","F",COMPANY,"cli11@gmail.com",
client-12,user-account-client-12,"CLI-8486","Fdfg k",INDIVIDUAL,"cli12@gmail.com","https://example.com"
client-13,user-account-client-13,"CLI-7091","G",COMPANY,"cli13@gmail.com",
client-14,user-account-client-14,"CLI-1124","Gjkhg",INDIVIDUAL,"cli14@gmail.com",
client-15,user-account-client-15,"CLI-4583","H",COMPANY,"cli15@gmail.com",
client-16,user-account-client-16,"CLI-9157","Hjkhgk",INDIVIDUAL,"cli16@gmail.com","https://example.com"
client-17,user-account-client-17,"CLI-2368","I",COMPANY,"cli17@gmail.com",
client-18,user-account-client-18,"CLI-7419","Iahadk",INDIVIDUAL,"cli18@gmail.com",
client-19,user-account-client-19,"CLI-3020","J",COMPANY,"cli19@gmail.com",
client-20,user-account-client-20,"CLI-8034","Jasdhk",INDIVIDUAL,"cli20@gmail.com","https://example.com"
