key,code,startPeriod,endPeriod,location,instructor,contactEmail,link,key:trainingModule,draftMode
training-session-01,TS-CCC-123,2021/10/08 09:00,2021/11/08 17:00,a,You MOM,youmom@gmail.com,https://twittsdser.com,training-module-02,false
training-session-02,TS-SDA-222,2021/05/06 09:00,2021/10/08 17:00,A,Rand Althor,dragonReborn3000@gmail.com,https://asdds33addd.com,training-module-02,false
training-session-03,TS-SDW-335,2021/08/07 09:00,2021/11/09 17:00,asdaoshdyugwd251ad5a2s62wdcauihcg ashddyuwgws,Matrim Cauthom,Iuse2roll&@gmail.com,,training-module-02,true
training-session-04,TS-AAA-000,2021/02/20 09:00,2021/3/08 17:00,"'""""'",12sdw&,1262251asd@acme.com,null,training-module-03,false
training-session-05,TS-VGE-568,2022/02/15 09:00,2022/02/28 17:00,YOUR MOOOOM,MY MOM 2,your@gmail.com,https://tw12255.za,training-module-04,true
training-session-06,TS-ZZZ-999,2022/03/30 09:00,2022/04/08 17:00,asdjbi adsuh ddwhyg d1 s& asd,asdhu,WHYMUSTW3SUFFER@gmail.com,https://ASdsdDO.net,training-module-01,false
training-session-07,TS-CCB-123,2022/10/09 09:00,2022/11/11 17:00,second star to the right,You MOM,uhbdYebd555@gmail.com,https://RDS45FBBa.com,training-module-08,true
training-session-08,TS-ASB-123,2021/10/08 09:00,2022/02/08 17:00,Universidad de Españita,Levi Strauss,25sdeygTTH6@yahoo.com,https://asdijjbsd.es,training-module-14,false
training-session-09,TS-ASB-589,2021/06/08 09:00,2021/09/22 17:00,Calle Felipe 24 piso 2I,María José Padilla Zorilla,asdjihihnHH@yahoo.com,https://asdmmi$$y.es,training-module-09,true
training-session-10,TS-HYE-168,2021/10/04 09:00,2021/12/08 17:00,Casa de pepe,Pedro Ximenez Covadonga,FFIU1299a@alum.us.es,https://sadsdffvvbttt.net,training-module-05,false
training-session-11,TS-SSF-199,2022/05/17 09:00,2022/11/14 17:00,Aula A1.12,Foul Tarnished,11235SA@gmail.com,https://jyndsdfbr.com,training-module-11,false
training-session-12,TS-XXX-966,2022/12/08 09:00,2023/02/02 17:00,asWSDAHD ks.jhe,Salom Muashikele,asdbbyYFA@spana.cc,null,training-module-15,false
training-session-13,TS-ZXR-234,2021/10/22 09:00,2021/11/30 17:00,Venid aca,Nombre Apellido Apellido,AAA@gmail.com,null,training-module-07,false
training-session-14,TS-IKO-567,2021/12/12 09:00,2022/03/31 17:00,Al sitio señalado,Socorro López Gonzalez,getfit@hellOnEarth.com,,training-module-09,true
training-session-15,TS-NAM-845,2021/01/08 09:00,2021/08/08 17:00,Avenida Dolor Casa 5,Pepe Gotera Veiga,kkilenm@gmail.com,null,training-module-10,false
