key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-auditor-01,true,"UserIdentity{name: 'Daniel', surname: 'коза თხა', email: 'daniel@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Ramon', surname: '貸んい建濯よ芝弾テソ', email: 'ramon@acme.com'}",auditor2,auditor2
user-account-administrator-02,true,"UserIdentity{name: 'Administrator1', surname: 'Acme1', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator2', surname: 'Acme2', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-manager-01,true,"UserIdentity{name: 'Pep', surname: 'Guardiola', email: 'pepguardiola@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'Jose', surname: 'Mourinho', email: 'josemourinho@acme.com'}",manager2,manager2
user-account-sponsor-01,true,"UserIdentity{name: 'Pepe', surname: 'Perez', email: 'pepe@acme.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Jose', surname: 'Antonanzas', email: 'jose@acme.com'}",sponsor2,sponsor2
user-account-developer-01,true,"UserIdentity{name: 'Rand', surname: 'Althor', email: 'rand@acme.com'}",developer1,developer1
user-account-developer-02,true,"UserIdentity{name: 'John', surname: 'Carter', email: 'john@acme.com'}",developer2,developer2
user-account-client-01,true,"UserIdentity{name: 'pepito', surname: 'Althor', email: '25dsa@acme.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'jose', surname: 'Carter', email: 'asdds@acme.com'}",client2,client2
user-account-client-03,true,"UserIdentity{name: 'Ana', surname: 'Martinez', email: 'ana.martinez@example.com'}",client3,company3
user-account-client-04,true,"UserIdentity{name: 'Pedro', surname: 'Gonzalez', email: 'pedro.gonzalez@example.com'}",client4,company4
user-account-client-05,true,"UserIdentity{name: 'María', surname: 'López', email: 'maria.lopez@example.com'}",client5,individual5
user-account-client-06,true,"UserIdentity{name: 'Juan', surname: 'Perez', email: 'juan.perez@example.com'}",client6,individual6
user-account-client-07,true,"UserIdentity{name: 'Luisa', surname: 'Sanchez', email: 'luisa.sanchez@example.com'}",client7,company7
user-account-client-08,true,"UserIdentity{name: 'Carlos', surname: 'Ramirez', email: 'carlos.ramirez@example.com'}",client8,individual8
user-account-client-09,true,"UserIdentity{name: 'Laura', surname: 'Garcia', email: 'laura.garcia@example.com'}",client9,company9
user-account-client-10,true,"UserIdentity{name: 'Sofía', surname: 'Diaz', email: 'sofia.diaz@example.com'}",client10,individual10
user-account-client-11,true,"UserIdentity{name: 'Miguel', surname: 'Rodriguez', email: 'miguel.rodriguez@example.com'}",client11,company11
user-account-client-12,true,"UserIdentity{name: 'Elena', surname: 'Hernandez', email: 'elena.hernandez@example.com'}",client12,individual12
user-account-client-13,true,"UserIdentity{name: 'Diego', surname: 'Moreno', email: 'diego.moreno@example.com'}",client13,company13
user-account-client-14,true,"UserIdentity{name: 'Isabel', surname: 'Torres', email: 'isabel.torres@example.com'}",client14,individual14
user-account-client-15,true,"UserIdentity{name: 'Alejandro', surname: 'Ruiz', email: 'alejandro.ruiz@example.com'}",client15,company15
user-account-client-16,true,"UserIdentity{name: 'Paula', surname: 'Fernandez', email: 'paula.fernandez@example.com'}",client16,individual16
user-account-client-17,true,"UserIdentity{name: 'Sergio', surname: 'Gomez', email: 'sergio.gomez@example.com'}",client17,company17
user-account-client-18,true,"UserIdentity{name: 'Carmen', surname: 'Alvarez', email: 'carmen.alvarez@example.com'}",client18,individual18
user-account-client-19,true,"UserIdentity{name: 'Raul', surname: 'Jimenez', email: 'raul.jimenez@example.com'}",client19,company19
user-account-client-20,true,"UserIdentity{name: 'Natalia', surname: 'Morales', email: 'natalia.morales@example.com'}",client20,individual20
